Bank,Start_BIN_Value,End_BIN_Value,
TBI,415246,415246,
TBI,425569,425569,
TBI,471417,471417,
TBI,471418,471418,
TBI,484817,484817,
TBI,547084,547084,
National_Bank_of_Iraq,414769,414769,
National_Bank_of_Iraq,420793,420793,
National_Bank_of_Iraq,511775,511775,
Bank_of_Baghdad,460075,460075,
Bank_of_Baghdad,44446900,44446900,
Bank_of_Baghdad,45771500,45771500,
Commercial_Bank,557690,557690,
Ashur_Bank,557691,557691,
IDB,513890,513890,
IDB,548644,548644,
IDB,521097,521097,
IDB,546808,546808,
IDB,545722,545722,
IDB,513788,513788,
IDB,410861,410861,
IDB,410851,410851,
IDB,400794,400794,
IDB,401809,401809,
IDB,45774000,45774000,
IDB,410890,410890,
IDB,40179200,40179200,
Gulf_Bank,517452,517452,
Gulf_Bank,524729,524729,
Gulf_Bank,447345,447345,
International_Islamic_Bank_IIB,510167,510167,
Credit_Bank,446977,446977,
IMEIB,537013,537013,
IMEIB,42550800,42550800,
Iraq_Gate,528578,528578,
ZainCash,536495,536495,
ZainCash,543986,543986,
ZainCash,535922,535922,
ZainCash,526525,526525,
ZainCash,511593,511593,
ZainCash,434152,434152,
Iraqi_Islamic_Bank,525660,525660,
Iraqi_Islamic_Bank,530507,530507,
Al_Janoob_Bank,516589,516589,
Al_Janoob_Bank,519871,519871,
Al_Janoob_Bank,40921800,40921800,
Al_Janoob_Bank,41776300,41776300,
Al_Janoob_Bank,520325,520325,
Al-_Rasheed_Bank,519360,519360,
Al-_Rasheed_Bank,444311,444311,
Mosul_Bank,559857,559857,
Mosul_Bank,518668,518668,
Byblos_Bank,40108400000,40108400000,
Byblos_Bank,5129760000,5129760000,
Byblos_Bank,5242440000,5242440002,
Byblos_Bank,5242442000,5242442004,
Byblos_Bank,5242442050,5242442054,
Byblos_Bank,5242444000,5242444002,
Byblos_Bank,5242448000,5242448002,
Byblos_Bank,5296134000,5296134000,
Byblos_Bank,5492410000,5492410002,
Byblos_Bank,5498760000,5498760002,
Byblos_Bank,5505790000,5505790002,
Byblos_Bank,5505793000,5505793002,
Cihan_Bank,527160,527160,
Cihan_Bank,516190,516190,
Cihan_Bank,527088,527088,
Cihan_Bank,527091,527091,
Cihan_Bank,527134,527134,
Cihan_Bank,527235,527235,
Cihan_Bank,527040,527040,
Cihan_Bank,527167,527167,
Cihan_Bank,521777,521777,
Cihan_Bank,534977,534977,
Iraq_Noor_Islamic_Bank,4135400000,4135400000,
Iraq_Noor_Islamic_Bank,4170200000,4170200000,
APS_Company,516502,516502,
Bank_MED,5296132000,5296132000,
Bank_MED,5296132020,5296132020,
Bank_MED,53374100000,53374100000,
Bank_MED,54450600000,54450600000,
Bank_MED,55057950000,55057950000,
Intercontinintal_Bank,5296130000,5296130000,
Intercontinintal_Bank,5296130040,5296130040,
Intercontinintal_Bank,,,
Intercontinintal_Bank,5296130060,5296130060,
Investment_Bank,519009,519009,
Investment_Bank,521612,521612,
Internaional_Islamic_Bank_IIB_(debit),518362,518362,
Internaional_Islamic_Bank_IIB_(debit),525580,525580,
Industial_Bank,5350390000,5350390000,
Industial_Bank,5350390010,5350390010,
Industial_Bank,5350390020,5350390020,
Rajih_Bank,522417,522417,
Rajih_Bank,541570,541570,
Agricultural_Bank,524273,524273,
World_Bank,521647,521647,
Trans_Iraq_Bank,4213080000,4213080000,
Trans_Iraq_Bank,4213080001,4213080001,
Trans_Iraq_Bank,5210603000,5210603000,
Trans_Iraq_Bank,5210603010,5210603010,
Nahrain_Bank,519404,519404,
Trusted_Bank,516945,516945,
Trusted_Bank,557699,557699,
Elaf,536675,536675,
Elaf,534412,534412,
Regional_trade_bank,534416,534416,
Rafidain_Bank,515256,515256,
Rafidain_Bank,555696,555696,
Rafidain_Bank,521372,521372,
Rafidain_Bank,522249,522249,
Rafidain_Bank,526987,526987,
NBI_gate_prepaid,533410,533410,
International_network_company,460025,460025,
zain_Iraq_Islamic_bank,557049,557049,
Al-Mashreq_Al-Arabi_bank_,547390,547390,
Al-Taif,4728210000,4728210000,
Al-Taif,4728210002,4728210002,
Al-Taif,4728215002,4728215002,
Al-Taif,4557670000,4557670000,
Al-Taif,4557670020,4557670020,
BBAC,5129761000,5129761002,
BBAC,5129764000,5129764004,
BBAC,52106000000,52106000000,
BBAC,52106000030,52106000030,
Ashur_Bank_prepaid,512962,512962,
Union_bank,5210602010,5210602010,
Union_bank,5210602020,5210602020,
Al-Mansour_Bank,527711,527711,
Al-Mansour_Bank,540995,540995,
Al-Mansour_Bank,542943,542943,
Al-Mansour_Bank,553004,553004,
Kurdistan_Bank,40924000,40924000,
Kurdistan_Bank,45797900,45797900,
Kurdistan_Bank,42437000,42437000,
Kurdistan_Bank,528671,528671,
Kurdistan_Bank,463898,463898,
Kurdistan_Bank,403143,403143,
Kurdistan_Bank,432820,432820,
National_Islamic_bank,510751,510751,
National_Islamic_bank,513652,513652,
Al-Mustashar_,530321,530321,
Al-Mustashar_,559951,559951,
Asia_Bank,532076,532076,
Asia_perpaid,519487,519487,
IMEIB_egate_New_Bin,516019,516019,
MEAB_Bank,4350080001,4350080001,
MEAB_Bank,4350080005,4350080005,
Al-Anssari,559189,559189,
Al-Anssari,45827200,45827200,
Ameen_al-Iraq,529614,529614,
Ishtar_Gate_company,423147,423147,
Credit_Bank_New_Bin,485368,485368,
Amwal,545759,545759,
Al-Qabidh,525787,525787,
Al-Qabidh,41955700,41955700,
Erbil,525349,525349,
Yana,555521,555521,
Al-Qurtas,401317,401317,
Iraq_Awal,420647,420647,
Iraq_Awal,417579,417579,
Iraq_Awal,430564,430564,
Iraq_Awal,557773,557773,
Areeba,41018800,41018800,
Areeba,41018900,41018900,
Areeba,415190,415190,
Sumer,541743,541743,
Al-Arabia_bank,43080600, 43080600,
Al-Arabia_bank,43174300,43174300,
ALMAL_BANK,522577,522577,
ALMAL_BANK,525862,525862,
